id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,Unnamed: 10,geometry
Escola Privada_1745288,Privada,Cr P Conv Estrelinhas do Futuro II,Rua,"Carlo Mannelli, 364",Jardim Gianetti,8430210,Escola Privada,-23.522502,-46.426889,,POINT (-46.426889 -23.522502)
Escola Privada_1745289,Privada,Cr P Conv Priscilla Telles Siqueira Balotta de Oliveira IX,Rua,"Aldo Lombardi, 72",Cidade Tiradentes,8471130,Escola Privada,-23.603171,-46.396557,,POINT (-46.396557 -23.603171)
Escola Privada_1745291,Privada,Esc Part Helena Lubienska,Rua,"Bueno de Andrade, 635",Aclimacao,1526000,Escola Privada,-23.565602,-46.630889,,POINT (-46.630889 -23.565602)
Escola Privada_1745311,Privada,Colegio Sintonia,Rua,"Alencar Araripe, 1338",Sacoma,4253000,Escola Privada,-23.619296,-46.596496,,POINT (-46.596496 -23.619296)
Escola Privada_1745315,Privada,Cr P Conv Priscilla Telles Siqueira Balotta de Oliveira V,Rua,"Cabocla da Lua Nova, 39",Conjunto Habitacional Castro Alves,8474160,Escola Privada,-23.581202,-46.404756,,POINT (-46.404756 -23.581202)
Escola Privada_1745316,Privada,Cr P Conv Vo Nice IIi,Rua,"Ernesto Cerreti, 412",Cidade Tiradentes,8470220,Escola Privada,-23.588538,-46.408129,,POINT (-46.408129 -23.588538)
Escola Privada_1745317,Privada,Cr P Conv Espaco Kairos X,Rua,"Antonio Cinati, 171",Cidade Tiradentes,8471300,Escola Privada,-23.604869,-46.401573,,POINT (-46.401573 -23.604869)
Escola Privada_1745331,Privada,Esc Part Rezende,Rua,"Doutor Ulpiano da Costa Manso, 291",Jardim Peri Peri,5538000,Escola Privada,-23.587719,-46.73827,,POINT (-46.73827 -23.587719)
Escola Privada_1745334,Privada,Esc Part Proben Centro Educacional,Rua,"Inspetor Mario Teixeira, 70",Jardim Analia Franco,3335100,Escola Privada,-23.55602,-46.566282,,POINT (-46.566282 -23.55602)
Escola Privada_1745351,Privada,Cr P Conv Caminhar e Crescer,Rua,"Antonio Thadeo, 697",Lajeado,8450160,Escola Privada,-23.538614,-46.406049,,POINT (-46.406049 -23.538614)
Escola Privada_1745388,Privada,Cr P Conv Luz do Terceiro Milenio I,Rua,"Tomoichi Shimizu, 727",Colonia Zona Leste,8260140,Escola Privada,-23.552139,-46.647198,,POINT (-46.647198 -23.552139)
